DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-01-25,EQ,618.5,623.8,606.25,618.3,615.0,612.75,612.47,660.4,499.35,22684904,13893936068.05,295756,SBIN
2024-01-24,EQ,609.95,622.35,603.1,605.1,618.0,618.3,615.78,660.4,499.35,19221835,11836460488.35,274606,SBIN
2024-01-23,EQ,627.0,634.9,600.65,631.4,606.0,605.1,613.88,660.4,499.35,30954343,19002405937.25,409569,SBIN
2024-01-20,EQ,629.0,633.8,624.1,627.75,631.0,631.4,628.99,660.4,499.35,9886760,6218702860.5,133765,SBIN
2024-01-19,EQ,633.0,635.5,624.7,628.3,628.7,627.75,629.47,660.4,499.35,11675202,7349140974.3,208754,SBIN
2024-01-18,EQ,625.8,633.45,619.05,626.0,628.5,628.3,627.46,660.4,499.35,14695436,9220794332.4,239183,SBIN
2024-01-17,EQ,624.0,636.8,623.0,636.9,626.45,626.0,628.6,660.4,499.35,30016308,18868396654.85,428458,SBIN
2024-01-16,EQ,640.0,644.9,633.45,640.1,637.55,636.9,639.72,660.4,499.35,15025543,9612187789.45,253396,SBIN
2024-01-15,EQ,638.9,645.5,636.1,633.6,640.8,640.1,640.23,660.4,499.35,16844018,10784099571.95,300031,SBIN
2024-01-12,EQ,623.8,636.5,621.1,620.2,635.25,633.6,630.54,660.4,499.35,16620797,10480104627.65,302558,SBIN
2024-01-11,EQ,626.0,627.15,618.5,621.75,621.25,620.2,621.85,660.4,499.35,15533860,9659792551.1,284550,SBIN
2024-01-10,EQ,624.8,625.3,618.2,625.4,622.0,621.75,622.15,660.4,499.35,12742464,7927674893.1,213657,SBIN
2024-01-09,EQ,632.0,634.35,624.5,627.0,625.95,625.4,629.7,660.4,499.35,13400235,8438088899.05,236123,SBIN
2024-01-08,EQ,640.0,645.0,625.05,641.95,627.9,627.0,633.49,660.4,499.35,14739531,9337325175.95,336839,SBIN
2024-01-05,EQ,645.0,651.75,637.75,642.75,641.45,641.95,645.02,660.4,499.35,15984585,10310453920.0,272662,SBIN
2024-01-04,EQ,642.5,646.4,638.65,643.45,643.6,642.75,642.95,660.4,499.35,13883388,8926355539.75,271568,SBIN
2024-01-03,EQ,639.35,648.0,635.8,639.45,644.5,643.45,643.21,660.4,499.35,14571772,9372732858.9,252225,SBIN
2024-01-02,EQ,641.35,648.0,633.85,641.35,639.2,639.45,640.47,660.4,499.35,15164482,9712346967.95,249803,SBIN
2024-01-01,EQ,642.2,646.9,638.0,642.05,638.1,641.35,643.93,660.4,499.35,8295548,5341716373.3,257804,SBIN
